"Cidade","UF","Pais","Email","Tel","DTNASC","CPF","GUID","Latitude","Longitude","TIPOSANGUINEO","ID","Nome","Sexo"
"São João Del Rei","MG","BR","CaioFerreiraSouza@gustr.com","(32) 5144-9745","5/5/1985","352.228.021-08","b5328855-18d0-4e47-9d44-d4508eaf8e2a","-21.257341","-44.17089","A+","20","Caio F Souza","2"
"São Paulo","SP","BR","MateusSousaSouza@cuvox.de","(11) 4841-3700","3/1/1975","218.238.286-04","b5f04dcd-6f83-4143-aff4-dc85c4f5c11f","-23.722753","-46.552866","B+","21","Mateus S Souza","2"
"Cruzeiro","DF","BR","VitorDiasBarbosa@armyspy.com","(61) 7556-7692","1/25/1969","890.566.088-60","20c223a3-77d5-4136-aeed-839330c89b65","-25.42795","-49.273493","B+","22","Vitor D Barbosa","2"
"Fortaleza","CE","BR","DiegoCardosoCastro@cuvox.de","(85) 9271-6730","7/27/1963","452.282.127-10","275c5e23-8a6a-4a5c-b8b4-cd2e51869bc7","-3.666982","-38.591542","O-","23","Diego C Castro","2"
"Marília","SP","BR","AnnaAlvesSantos@gustr.com","(14) 6952-7030","8/22/1944","932.727.290-03","8abfb549-1a30-4c79-b15b-2127a5a1201f","-22.257786","-49.968173","O+","24","Anna A Santos","1"
"Vitória de Santo Antão","PE","BR","JulietaCostaLima@cuvox.de","(81) 6038-9366","3/19/1971","743.970.810-50","45fbf331-ec7c-4986-b2ff-c3e2956c0d91","-8.177202","-35.253514","A+","25","Julieta C Lima","1"
"Ribeirão Pires","SP","BR","DaniloSantosSouza@einrot.com","(16) 9033-4004","10/20/1937","601.712.297-54","ddfb79c8-d96f-4a87-b2d5-8f3c18adbcf1","-23.743064","-46.442101","A+","26","Danilo S Souza","2"
"Barra Mansa","RJ","BR","LeonardoRodriguesAlmeida@armyspy.com","(24) 8450-7144","5/22/1951","319.829.449-51","f734fc0c-5b0f-45a4-b350-13839b73c292","-22.585392","-44.217631","O+","27","Leonardo R Almeida","2"
"Curitiba","PR","BR","ErickCavalcantiRibeiro@jourrapide.com","(41) 2548-7327","4/25/1965","431.519.287-22","28b0e2d1-3d03-43da-aa47-8dfabf91f7fa","-25.444564","-49.233839","A+","28","Erick C Ribeiro","2"
"São Paulo","SP","BR","LuisFerreiraRibeiro@superrito.com","(11) 7394-9104","5/10/1989","968.697.749-00","d78e8535-3d97-45b1-910c-bc33fb5cb2b7","-23.631507","-46.691888","O+","29","Luís F Ribeiro","2"
"São Vicente","SP","BR","MariaBarrosDias@superrito.com","(11) 9405-2649","10/28/1951","266.384.519-10","8d0f3112-d63d-456e-9917-36ca547e46ae","-23.927695","-46.424948","O+","30","Maria B Dias","1"
"Limeira","SP","BR","SophiaFerreiraMelo@dayrep.com","(19) 7858-5338","12/19/1942","781.498.020-88","50646d12-0dbc-4ae6-bbb9-5d071a6776a3","-22.670945","-47.362049","B+","31","Sophia F Melo","1"
"Manaus","AM","BR","MartimSouzaLima@jourrapide.com","(92) 5343-5736","4/16/1998","120.998.966-23","bb007167-4f66-4226-9678-f78f93193d65","-2.612127","-60.044631","A+","32","Martim S Lima","2"
"Porto Velho","RO","BR","MartimAzevedoDias@teleworm.us","(69) 4605-6417","3/5/1936","846.295.656-04","44bec539-6a0f-45ce-9cfc-a0d8cf0ae5f7","-9.296049","-64.270295","O+","33","Martim A Dias","2"
"Campinas","SP","BR","PauloLimaDias@armyspy.com","(19) 2255-9436","6/4/1951","393.047.674-66","99bf1b3d-9a7e-4bc0-8ed5-863879576e27","-22.849691","-47.138494","B+","34","Paulo L Dias","2"
"Belo Horizonte","MG","BR","PedroFernandesAlmeida@fleckens.hu","(31) 4036-8299","4/16/1957","756.211.470-65","922d64c3-c729-486b-be40-b51fdedea212","-19.979773","-43.881515","B-","35","Pedro F Almeida","2"
"Ribeirão das Neves","MG","BR","DanielOliveiraRodrigues@cuvox.de","(31) 2672-7127","7/17/1935","420.917.149-25","e71dcac2-ecba-42ad-82e0-7b254a8292a9","-19.819712","-44.162257","A+","36","Daniel O Rodrigues","2"
"Araçatuba","SP","BR","LuizaAraujoCarvalho@superrito.com","(18) 2889-3497","3/25/1956","759.603.174-94","80bc8875-e056-4c39-b5b2-bf0638828cef","-21.068385","-50.572445","O+","37","Luiza A Carvalho","1"
"Capão Bonito","SP","BR","MateusCavalcantiAlmeida@teleworm.us","(15) 4750-3865","8/15/1942","242.248.358-51","521300ad-9f3b-4b37-9afc-1f6c60316ee1","-23.981525","-48.222889","O+","38","Mateus C Almeida","2"
"Fortaleza","CE","BR","BrunoAlvesAraujo@einrot.com","(85) 5405-8937","8/26/1960","837.635.166-46","f7c552db-3cae-4ffb-a3b1-08fc0b670aa4","-3.718575","-38.553226","A+","39","Bruno A Araujo","2"
"Cascavel","PR","BR","AgathaMartinsFerreira@dayrep.com","(45) 8796-3047","1/8/1952","405.979.228-45","89a7dbd0-9466-404a-a529-759e89f66a11","-25.004813","-53.433174","B+","40","Ágatha M Ferreira","1"
"Recife","PE","BR","AliceAzevedoAraujo@teleworm.us","(81) 2051-8563","3/4/1937","174.792.677-97","088e677e-884f-4917-b617-bd092d930c48","-8.080675","-35.027153","A+","41","Alice A Araujo","1"
"Tatuí","SP","BR","KaueSantosFerreira@gustr.com","(15) 7688-5728","6/2/1938","555.192.305-36","4c7f3929-aa8c-4629-bf1b-644918ba0c7c","-23.400231","-47.835775","B+","42","Kauê S Ferreira","2"
"Jaboatão dos Guararapes","PE","BR","LuizAzevedoPinto@jourrapide.com","(81) 7442-8544","3/14/1987","432.806.687-00","24425a9b-1076-4835-83f3-c21da7feda5a","-8.062409","-34.941615","AB+","43","Luiz A Pinto","2"
"Queimados","RJ","BR","ThaisFernandesRibeiro@jourrapide.com","(21) 9163-4533","5/6/1976","672.568.743-16","474c0d22-6a86-4add-8606-7ed8614dab24","-22.741159","-43.5239","B+","44","Thaís F Ribeiro","1"
"Fortaleza","CE","BR","LarissaMeloPinto@superrito.com","(85) 5647-4712","10/23/1964","476.811.527-68","824615e5-d080-4667-ad48-83711be1c72d","-3.7407","-38.521341","B+","45","Larissa M Pinto","1"
"Belo Horizonte","MG","BR","CaioAraujoGomes@teleworm.us","(31) 8731-2473","9/2/1950","395.359.706-07","ac08b75b-0a5a-4b19-8258-4d8f89b9ced7","-19.902831","-43.893734","O+","46","Caio A Gomes","2"
"Aracaju","SE","BR","MarisaMeloCastro@einrot.com","(79) 3095-7211","5/23/1960","434.202.218-43","d827e1b3-da85-4d20-81d2-b3af4f18fdb7","-10.958131","-37.04716","A+","47","Marisa M Castro","1"
"Japeri","RJ","BR","DanielRibeiroRocha@teleworm.us","(21) 5742-6755","1/24/1941","837.698.132-35","87059437-9f36-46f3-840e-6fa90d78bca8","-22.566596","-43.684939","O+","48","Daniel R Rocha","2"
"Camaragibe","PE","BR","AntonioCavalcantiSantos@armyspy.com","(81) 8536-5195","9/20/1987","764.666.664-50","aab9a81a-f43b-4b2c-8e83-2897910392a5","-8.087727","-34.917318","B+","49","Antônio C Santos","2"
"Caruaru","PE","BR","GiovanaBarbosaFernandes@rhyta.com","(81) 6621-3667","10/4/1999","682.698.867-42","a5c6225d-c18e-47ed-b944-3453a66771f8","-8.245984","-36.039295","B+","50","Giovana B Fernandes","1"
"Jundiaí","SP","BR","EstevanMartinsCavalcanti@einrot.com","(11) 4296-7289","7/25/1996","717.574.582-63","0f15f7e3-969f-4538-a608-6705968ddd2f","-23.233086","-46.999697","O+","51","Estevan M Cavalcanti","2"
"Itapevi","SP","BR","GabrielRodriguesRibeiro@dayrep.com","(11) 6852-6615","6/20/1964","792.720.822-50","00b94029-7e32-4e4a-96f4-33cc549c62ce","-23.528633","-47.041966","O+","52","Gabriel R Ribeiro","2"
"Ourinhos","SP","BR","MariaCardosoRocha@einrot.com","(14) 9137-3746","5/13/1954","402.435.160-53","06d18c8d-8da1-4c41-940f-6fe39758129e","-22.938177","-49.793242","O+","53","Maria C Rocha","1"
"Araguaína","TO","BR","CarlaCastroAraujo@einrot.com","(63) 4370-8743","7/30/1993","877.606.101-90","5bf7f115-9458-4401-b805-b6f0aaf5cc40","-7.228802","-48.613059","B+","54","Carla C Araujo","1"
"Campo Grande","MS","BR","DaniloSousaCastro@fleckens.hu","(67) 2436-3832","9/24/1939","646.332.907-03","6333c52d-9a78-4e05-ad97-3b70df5a9d31","-20.899452","-54.172581","A+","55","Danilo S Castro","2"
"Barra Mansa","RJ","BR","ViniciusAraujoCorreia@cuvox.de","(24) 7107-2611","3/17/1970","602.359.676-29","93cd9705-fb21-4816-a3ad-d540930754b0","-22.490388","-44.281627","B-","56","Vinícius A Correia","2"
"Indaiatuba","SP","BR","LuanSousaMartins@rhyta.com","(19) 7692-6510","4/4/1958","811.691.769-25","757d038a-3004-4eb8-9d25-31a7d54db1de","-23.044989","-47.158893","AB+","57","Luan S Martins","2"
"Guarulhos","SP","BR","TomasRochaFerreira@fleckens.hu","(11) 4276-7974","5/19/1940","494.278.730-00","76c89784-ca62-46a7-ad91-ba103fcd84d2","-23.442537","-46.512169","O+","58","Tomás R Ferreira","2"
"Feira de Santana","BA","BR","DiogoCunhaFernandes@teleworm.us","(75) 4739-4087","11/3/1973","943.362.325-80","2034aa62-2091-4cba-9039-794840fbf2c0","-12.137099","-39.060733","A+","59","Diogo C Fernandes","2"
"Florianópolis","SC","BR","LeilaMeloPereira@cuvox.de","(48) 8180-4450","8/22/1971","274.635.490-03","3fd3fcfe-e573-4a4c-85a1-82711800c773","-27.65871","-48.509913","O+","60","Leila M Pereira","1"
"Niterói","RJ","BR","ClaraCardosoGoncalves@armyspy.com","(21) 7901-6285","11/23/1963","121.994.643-50","4b330ab8-bf23-40f2-aa88-7fdfc05e51d7","-22.845628","-43.172261","O+","61","Clara C Goncalves","1"
"Teresina","PI","BR","RaissaCunhaBarros@cuvox.de","(86) 8290-7662","11/23/1938","273.882.372-67","f8cb0ff2-3e6c-4ba3-a6cb-90a2a70420a5","-5.360666","-42.937536","B+","62","Raissa C Barros","1"
"Itu","SP","BR","SofiaCarvalhoRodrigues@fleckens.hu","(11) 7941-6652","3/9/1978","665.308.289-07","bfad022d-3aec-4393-b30a-1f3826a3ace2","-23.33404","-47.274047","B+","63","Sofia C Rodrigues","1"
"Recife","PE","BR","AndreSantosCarvalho@cuvox.de","(81) 7116-4724","8/25/1989","744.648.118-84","57f2bb60-7a20-47e3-828f-1263254f9ce6","-7.961245","-35.043336","B+","64","André S Carvalho","2"
"Jaboatão dos Guararapes","PE","BR","GabrielCavalcantiPereira@cuvox.de","(81) 4931-6531","10/5/1985","724.838.469-04","e0e038ed-5010-47de-93af-07e52deb4fb1","-8.195741","-34.934431","O-","65","Gabriel C Pereira","2"
"Itajaí","SC","BR","GabrielleAlmeidaFernandes@dayrep.com","(47) 5263-2215","8/24/1940","733.893.985-38","12f88bb6-f592-4880-9d84-549c17c75215","-26.902951","-48.765705","A+","66","Gabrielle A Fernandes","1"
"Londrina","PR","BR","JoseGoncalvesCavalcanti@teleworm.us","(43) 5443-9619","3/31/1941","567.232.115-10","fcd0a1f2-29ad-4cf5-9f9a-92bda131ccf5","-23.595643","-51.081527","O+","67","José G Cavalcanti","2"
"Londrina","PR","BR","ArthurMartinsOliveira@dayrep.com","(43) 5924-3314","5/6/1962","628.257.797-76","95ce221f-d0a7-4212-a8a8-7347f0d8a960","-23.515711","-51.083366","A+","68","Arthur M Oliveira","2"
"Macaé","RJ","BR","LucasSousaAraujo@jourrapide.com","(22) 8860-9211","6/26/1953","308.979.095-50","5218b69d-a0bf-4e87-bcc6-6d6cea1106c4","-22.400267","-41.926579","A+","69","Lucas S Araujo","2"
"Campinas","SP","BR","LaviniaRodriguesCosta@einrot.com","(19) 2676-6271","4/25/1934","542.396.162-98","5cff327e-ec96-4598-8c78-baddd0c4cc34","-22.887214","-46.94822","O+","70","Lavinia R Costa","1"
"Diadema","SP","BR","YasminRibeiroCarvalho@fleckens.hu","(11) 6485-8122","6/20/1999","429.128.330-00","5c36ce21-e2b7-4aad-883f-eba3772cb267","-23.631666","-46.537057","O+","71","Yasmin R Carvalho","1"
"Aparecida de Goiânia","GO","BR","TomasGoncalvesFernandes@superrito.com","(62) 3636-9587","8/23/1998","160.362.021-48","ac7331e7-d331-4bab-afe5-7b35207ff995","-16.824771","-49.229002","B+","72","Tomás G Fernandes","2"
"Palmas","TO","BR","GabriellyPintoLima@dayrep.com","(63) 6234-7098","12/27/1948","909.015.762-04","2fb00ba7-747c-4c58-976f-be23c0898c72","-10.083727","-48.068893","A+","73","Gabrielly P Lima","1"
"Aparecida de Goiânia","GO","BR","RebecaSantosCunha@cuvox.de","(62) 7597-9723","1/5/1977","398.421.825-76","d6e2c79d-89d6-4913-8da2-e2c337ad39ac","-16.869926","-49.347556","A+","74","Rebeca S Cunha","1"
"Araguaína","TO","BR","JuliaOliveiraMelo@teleworm.us","(63) 6735-5179","7/2/1981","849.239.749-74","c96cab4a-ecdb-4b16-8ff4-1e586e1267a5","-7.253541","-48.600901","B+","75","Júlia O Melo","1"
"Santo André","SP","BR","CauaPereiraAlmeida@armyspy.com","(11) 2189-2327","3/23/1994","866.274.186-06","86c5b662-0c75-4686-80c5-bb9d97d01e33","-23.820811","-46.473904","AB+","76","Cauã P Almeida","2"
"São José dos Pinhais","PR","BR","ClaraCostaRocha@fleckens.hu","(41) 6587-5452","3/8/1975","254.702.351-22","d70dbde6-6020-4ad4-b843-a7906a74afa7","-25.620753","-48.992294","A+","77","Clara C Rocha","1"
"Itabira","MG","BR","VitorBarrosPereira@cuvox.de","(31) 6376-7347","2/16/1997","957.948.205-51","9de17db1-3e00-4906-8812-be79cb290f71","-19.534844","-43.284364","A+","78","Vitór B Pereira","2"
"Praia Grande","SP","BR","DouglasBarbosaMelo@jourrapide.com","(13) 6700-9925","7/5/1961","987.019.850-35","21de8065-e22d-4960-be80-d38d4f29c52f","-24.03392","-46.427088","AB+","79","Douglas B Melo","2"
"Americana","SP","BR","AmandaRochaCunha@einrot.com","(19) 8118-3347","10/16/1993","952.493.480-92","b12f7d3e-7268-4d71-a83c-138b789f330c","-22.751356","-47.271966","A+","80","Amanda R Cunha","1"
"Indaiatuba","SP","BR","DiegoAlmeidaCorreia@einrot.com","(19) 7104-9167","3/7/1973","797.101.989-04","9ea517af-a9ee-4235-a62d-1a49d297ac61","-23.197656","-47.139126","O+","81","Diego A Correia","2"
"Guarulhos","SP","BR","LiviaAzevedoCosta@einrot.com","(11) 4648-7348","3/8/1963","310.591.323-89","088218cc-2684-40cd-b49f-43fbd0eff7a3","-23.364576","-46.35988","A+","82","Livia A Costa","1"
"Rio de Janeiro","RJ","BR","ThaisRochaOliveira@dayrep.com","(21) 5251-9585","4/25/1983","718.378.742-71","d15100ba-5009-4f21-8589-bc11fcc123f5","-22.999027","-43.262065","O+","83","Thaís R Oliveira","1"
"Serra","ES","BR","TiagoGoncalvesAlves@dayrep.com","(27) 4279-7257","7/13/1985","429.943.208-86","216fceae-6f56-476c-b82b-e9bbe53fde93","-20.049871","-40.263568","AB+","84","Tiago G Alves","2"
"Belo Horizonte","MG","BR","GabriellePereiraSilva@cuvox.de","(31) 2260-2609","8/5/1979","931.138.989-78","95f4ce30-3446-4ef0-9c33-ee33983f2c2e","-19.964474","-44.042203","O+","85","Gabrielle P Silva","1"
"Salvador","BA","BR","CauaRochaFerreira@gustr.com","(71) 7786-5116","6/6/1954","750.687.973-59","89f8836b-5f44-495a-89b6-4af512031465","-12.91088","-38.417071","B-","86","Cauã R Ferreira","2"
"Manaus","AM","BR","BrunoFernandesSantos@teleworm.us","(92) 8525-9510","7/29/1979","842.627.869-86","eefe43db-bd98-401b-abfd-238c88d6c830","-2.759651","-60.121696","AB+","87","Bruno F Santos","2"
"Petrópolis","RJ","BR","EmilyBarrosCardoso@cuvox.de","(24) 9485-4337","9/13/1982","464.289.815-80","1efc8d74-55fd-4c3e-ae3f-754e53764448","-22.335622","-43.111298","O+","88","Emily B Cardoso","1"
"Juiz de Fora","MG","BR","ViniciusGoncalvesPinto@dayrep.com","(32) 4830-6670","10/13/1965","737.399.774-00","c7a6bcd4-e2fc-4ebf-af26-8ced5b80905d","-21.674622","-43.481467","AB+","89","Vinicius G Pinto","2"
"Taubaté","SP","BR","VictorRibeiroMartins@einrot.com","(12) 2081-5614","9/24/1963","310.977.332-54","7ceb63b4-9e9c-4177-abf1-5632588ba574","-23.07762","-45.478059","A+","90","Victor R Martins","2"
"Mogi das Cruzes","SP","BR","SofiaAlvesAlmeida@teleworm.us","(11) 4095-6816","6/22/1948","817.336.704-32","811a1d23-1818-473e-b06b-f7a1797a68ce","-23.566982","-46.257364","O+","91","Sofia A Almeida","1"
"São Paulo","SP","BR","ThaisPereiraOliveira@fleckens.hu","(11) 7020-3582","5/19/1954","524.449.134-26","ba30eb32-3452-459b-b893-0f616307d27a","-23.651679","-46.64711","B+","92","Thaís P Oliveira","1"
"Nova Iguaçu","RJ","BR","JuliaCarvalhoFernandes@gustr.com","(21) 2264-8112","4/13/1944","373.710.496-40","879c4f3e-935e-4f2c-b622-26603f840fe1","-22.711995","-43.570696","AB+","93","Júlia C Fernandes","1"
"Vitória","ES","BR","FernandaOliveiraSousa@rhyta.com","(27) 4848-4275","12/9/1948","482.849.065-54","ee8249be-50d0-4f0e-a866-eef7790a57cb","-20.248589","-40.2604","O+","94","Fernanda O Sousa","1"
"Campo Grande","MS","BR","LeilaAzevedoLima@gustr.com","(67) 7719-2571","11/16/1992","259.051.164-74","6919842f-b363-421f-8532-1e7c80ae059c","-21.026456","-54.274582","O+","95","Leila A Lima","1"
"Rio de Janeiro","RJ","BR","AlineAlvesDias@gustr.com","(21) 9022-6094","12/9/1962","518.900.609-33","cb841dec-3ced-4c63-9d91-d94576328307","-23.015823","-43.242704","O+","96","Aline A Dias","1"
"Taubaté","SP","BR","AnaAraujoSousa@gustr.com","(12) 7471-6544","10/18/1959","644.037.143-66","c2cf4d53-b0f0-4292-ac55-050cf3f4f785","-23.026541","-45.512717","B+","97","Ana A Sousa","1"
"Rio de Janeiro","RJ","BR","AliceAlvesSouza@rhyta.com","(21) 8999-4130","1/18/1956","264.762.330-92","01b95fc6-4cd4-4aae-9ff7-387aa73e37e8","-22.96027","-43.377161","A+","98","Alice A Souza","1"
"Ponta Grossa","PR","BR","VictorPintoMartins@rhyta.com","(42) 9275-2800","11/9/2000","966.989.802-18","374656b7-d297-47a3-879a-c23e20dd2c35","-25.151302","-50.049536","A+","99","Victor P Martins","2"
"Caraguatatuba","SP","BR","PedroMartinsMelo@jourrapide.com","(12) 5018-6009","2/10/1974","147.253.503-03","891c1e15-c0a5-4cc8-a032-707f77a08f57","-23.686828","-45.57931","O+","100","Pedro M Melo","2"
"São Luís","MA","BR","JoseCostaCunha@armyspy.com","(98) 7505-7075","1/12/1967","672.416.614-43","2086a25e-bcad-4287-8beb-6d888ab0c27d","-2.580425","-44.34213","O-","101","José C Cunha","2"
"Esteio","RS","BR","OtavioCorreiaPereira@superrito.com","(51) 7364-3900","5/24/1975","882.428.606-29","021bb377-587f-44f1-ac43-0e7fc6cf58d1","-29.812238","-51.245818","A+","102","Otávio C Pereira","2"
"Carapicuíba","SP","BR","ManuelaAlvesCorreia@einrot.com","(11) 6939-6453","12/5/1982","188.841.183-01","e466a5ab-5111-406d-b2a8-373b48aff595","-23.609382","-46.777867","B+","103","Manuela A Correia","1"
"Rio de Janeiro","RJ","BR","AmandaSantosBarros@rhyta.com","(21) 8283-7004","4/9/1959","962.953.798-26","6b2dc748-41bb-42b8-946e-13a83eb6d7c8","-22.923095","-43.299385","B+","104","Amanda S Barros","1"
"Goiânia","GO","BR","LuanAlvesBarbosa@dayrep.com","(62) 9547-2769","9/2/1958","582.522.238-34","2d41c581-7cf7-4493-9006-acf055e2b92c","-16.61763","-49.188545","AB+","105","Luan A Barbosa","2"
"Ribeirão das Neves","MG","BR","VitorAzevedoCastro@jourrapide.com","(31) 5654-3829","2/17/1951","618.037.434-17","ff215792-62a1-4bed-a4e0-e1ca1bb36c56","-19.729562","-44.127647","O+","106","Vitor A Castro","2"
"Americana","SP","BR","LeonardoBarrosGomes@superrito.com","(19) 2422-5175","2/15/1985","621.695.728-72","fc8d97fd-fa4e-4a3d-b1a5-e34b7dfade80","-22.765204","-47.320007","O+","107","Leonardo B Gomes","2"
"Santa Luzia","MG","BR","MarisaBarrosFerreira@cuvox.de","(31) 2221-8275","1/10/1945","300.832.904-78","629e352f-7b8b-4afa-b3a3-c3806ae5fc8f","-19.802036","-43.747766","A+","108","Marisa B Ferreira","1"
"Belo Horizonte","MG","BR","AlinePereiraCorreia@dayrep.com","(31) 3988-4769","2/20/1942","247.856.006-24","d296a96a-0c3c-4a11-b43f-ee48b693e805","-19.940547","-43.933295","B+","109","Aline P Correia","1"
"Salvador","BA","BR","AliceLimaGomes@dayrep.com","(71) 3555-2804","10/16/1993","753.242.729-30","8f640c97-fff1-40a9-a123-b1f7a5adf220","-12.902454","-38.39924","B+","110","Alice L Gomes","1"
"Tubarão","SC","BR","AgathaCavalcantiMelo@dayrep.com","(48) 4784-6900","12/24/1993","929.824.181-00","22022ce9-2b63-4910-ae0c-72c76cb10670","-28.428109","-48.970297","O+","111","Ágatha C Melo","1"
"Teresópolis","RJ","BR","VitorSilvaOliveira@cuvox.de","(21) 4816-2777","5/1/1971","246.503.538-07","2aa06605-adc2-47ef-8942-a918080e3da2","-22.284244","-42.799451","B+","112","Vitór S Oliveira","2"
"Ribeirão Preto","SP","BR","AgathaFerreiraAraujo@fleckens.hu","(16) 8236-4725","7/25/1975","892.190.182-50","9362d5d2-c6e8-40ca-b04e-3573a2761edc","-21.252529","-47.872912","A+","113","Ágatha F Araujo","1"
"Natal","RN","BR","SamuelRochaDias@fleckens.hu","(84) 6898-7848","8/26/1999","246.427.940-42","db999eb8-b9a0-498a-b3c9-418dfd8607b8","-5.732855","-35.144558","O+","114","Samuel R Dias","2"
"Araçatuba","SP","BR","AlexDiasPereira@teleworm.us","(18) 6365-3609","3/28/1936","109.904.080-94","d3e414fa-1454-4475-a4f3-119c032760ab","-21.128947","-50.612257","B+","115","Alex D Pereira","2"
"Recife","PE","BR","ErickAzevedoDias@jourrapide.com","(81) 3021-6284","12/16/1975","430.661.630-40","37b5e6f1-6d18-47f6-be51-b0f5ca5e2ba3","-7.976616","-34.89715","O+","116","Erick A Dias","2"
"Itapira","SP","BR","FelipeCastroCunha@teleworm.us","(19) 9214-2316","6/9/1983","506.674.525-40","c3d8262b-7959-4559-903a-f525625af8ae","-22.356792","-46.718772","O+","117","Felipe C Cunha","2"
"São Paulo","SP","BR","AlineGoncalvesAraujo@gustr.com","(11) 2802-8631","11/16/1993","274.950.034-64","aab6f2fb-df25-44e4-b754-0f91204e82a4","-23.676707","-46.734586","O+","118","Aline G Araujo","1"
"Santana de Parnaíba","SP","BR","LuanAzevedoMelo@superrito.com","(11) 2719-7947","4/17/1986","971.695.672-02","c74799f4-3c0b-46b6-8c79-cfe7370b6870","-23.399469","-46.912996","O+","119","Luan A Melo","2"
"Cabo Frio","RJ","BR","AgathaCastroOliveira@einrot.com","(22) 4754-8864","11/20/1975","599.554.170-64","e6ee4f1c-f4e7-405b-9e8c-cd635d730282","-22.730372","-42.117387","O+","120","Ágatha C Oliveira","1"
